Fri Nov 13 19:00:01 CET 2015 19:00:01 up 1 day, 7:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 19:10:01 CET 2015 19:10:01 up 1 day, 7:46, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 19:20:01 CET 2015 19:20:01 up 1 day, 7:56, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 19:30:01 CET 2015 19:30:01 up 1 day, 8:06, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 19:40:01 CET 2015 19:40:01 up 1 day, 8:16, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 19:50:01 CET 2015 19:50:01 up 1 day, 8:26, 0 users, load average: 0.01, 0.02, 0.05
Fri Nov 13 20:00:01 CET 2015 20:00:01 up 1 day, 8:36, 0 users, load average: 0.00, 0.01, 0.05
Fri Nov 13 20:10:01 CET 2015 20:10:01 up 1 day, 8:46, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 10:10:01 CET 2015 10:10:01 up 8 min, 0 users, load average: 0.00, 0.02, 0.03
Sat Nov 14 10:20:01 CET 2015 10:20:01 up 18 min, 0 users, load average: 0.00, 0.01, 0.03
Sat Nov 14 10:30:01 CET 2015 10:30:01 up 28 min, 0 users, load average: 0.00, 0.01, 0.03
Sat Nov 14 10:40:01 CET 2015 10:40:01 up 38 min, 0 users, load average: 0.00, 0.01, 0.04
Sat Nov 14 10:50:01 CET 2015 10:50:01 up 48 min, 0 users, load average: 0.00, 0.01, 0.04
Sat Nov 14 11:00:01 CET 2015 11:00:01 up 58 min, 0 users, load average: 0.00, 0.01, 0.04
Sat Nov 14 11:10:01 CET 2015 11:10:01 up 1:08, 0 users, load average: 0.00, 0.01, 0.04
Sat Nov 14 11:20:01 CET 2015 11:20:01 up 1:18, 0 users, load average: 0.00, 0.01, 0.04
Sat Nov 14 11:30:01 CET 2015 11:30:01 up 1:28, 0 users, load average: 0.00, 0.01, 0.04
Sat Nov 14 11:40:01 CET 2015 11:40:01 up 1:38, 0 users, load average: 0.00, 0.01, 0.04
Sat Nov 14 11:50:01 CET 2015 11:50:01 up 1:48, 0 users, load average: 0.00, 0.01, 0.04
Sat Nov 14 12:00:01 CET 2015 12:00:01 up 1:58, 0 users, load average: 0.00, 0.01, 0.04
Sat Nov 14 12:10:01 CET 2015 12:10:01 up 2:08, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 12:20:02 CET 2015 12:20:02 up 2:18, 0 users, load average: 0.00, 0.01, 0.05
Sat Nov 14 12:30:01 CET 2015 12:30:01 up 2:28, 0 users, load average: 0.00, 0.01, 0.05
